identifier,coordinate
e4362837-3e63-438d-8faa-0aaea3de03a7,1.92321
5086604d-fb41-4c91-9d1e-5a132c6b2d4f,2.28023
87fbc084-2dc2-4cbd-a31b-0fd2a2bbbbbb,2.63724
53c35254-ef9a-498c-8983-c859fdc04210,2.99426
54603307-88ed-49f5-a3a5-779628009d55,3.35128
18c837e6-5e86-47d5-9d8b-69cf7bf474b6,3.70829
1ef56f30-e6c7-4286-b65d-ffafd933e3fd,4.06531
46c20b88-578a-448c-8758-95e0152919a7,4.42233
5b7b3d3b-808e-4607-ac94-315463be6298,4.77935
8dfa076d-0333-402f-8618-30f799c7872d,5.18830
6cbe54ff-35cc-4b1b-a34d-533235e1ff0d,5.59726
8ba03ee3-60c2-4a04-9607-887cd6bd89ed,6.00621
7dc613eb-be08-44f9-ab0f-ba5e67da2344,6.41517
9022d45e-d8fa-448a-a136-491811b8f2a2,6.82412
aa0a06c2-03cd-4483-ac4b-0377094d9768,7.23308
49c77fe2-8ceb-46aa-8e6a-0f39b82ae93a,7.64203
15611165-3cdf-4b80-a442-b332f03316a4,8.05098
185664b2-48b0-4392-be44-754021ccbd12,8.45994
b8a3512c-1fbc-4209-84a8-1da9fcdec72d,8.86889
75784c71-b627-4d05-993a-99d8285d8232,9.27785
0f9e8263-a7ba-4b63-ac93-2c96ed599b8d,9.68680
1a2d2f1b-05e6-4b2f-82ad-2242f49f84c3,10.09576
0f429f21-bda7-45ca-8d2f-7f7c3674518b,10.50471
ffc74543-d2dc-49ac-aa41-d8815dd05a5a,10.91367
6e02c010-1eee-4efe-826c-a248d9c3e5b1,11.32262
7dc0652f-3720-40f3-9836-b91a54a9a55c,11.73158
48249806-7951-4bb2-8ab4-69c465576dc3,12.14053
4c588dc6-eb2c-4d86-9149-677ad792dcd2,12.54949
877aaa51-430f-44f7-8442-5c7495446320,12.95844
f6dd213e-25d8-45fa-a805-faaaddded6d4,13.36740
0a5ed8bc-890e-4be9-933e-fc2eb93141e5,13.77635
1ac2bf72-4929-440c-9315-3fb319cde784,14.18531
ced1f267-b390-4dcf-9222-dca0e5892612,14.63316
59ff2e50-d3ea-4b16-bf72-93aedcb3a219,15.08101
8e1c8c42-e86c-4e27-bb45-ab478390c189,15.52887
ca96627e-c708-4b0e-920d-bbc6b167f92b,15.97672
54bf1f9d-697c-4ef3-8444-f7522969fd3f,16.42457
f3930ea6-8031-4828-b973-75558ddaf3de,16.87242
e8e5670a-6318-4963-a720-2e544e58502b,17.32027
8e45bf6a-8442-4461-9e60-882850a00f2f,17.76813
e47f6841-a301-4f2c-a837-cb620d85b78f,18.21598
6d539db8-b126-48f7-9c2d-0fa39583b2e1,18.66383
218fbef4-320c-4374-9dc8-f9f00ff8ba69,19.11168
b2ca89ed-8f56-47ec-a893-ba18727e9fef,19.55954
5a8ba297-2be4-4ff5-803a-8e2481ec90b8,20.00739
1fc91b4a-bceb-43bf-9a81-980b641f0503,20.45524
1c06fa2e-6843-49e9-bc52-f6c07531b65c,20.90309
afb22928-987b-48af-8fb5-b9d9a441da96,21.47440
3bc380e1-08d1-4307-914b-63c4a864e707,22.04571
ccd355e8-e947-40eb-8071-fde180c5abb9,22.61702
64b66711-fb77-46de-8681-13fb5d15002b,23.18833
b7428ce2-f4a8-45f5-beb1-a72f861f8d52,23.75964
6cf48943-bf69-4468-bba3-65c228bda3a4,24.33095
1170c6bb-7ce6-4c5f-a200-1329e35a6a96,24.90226
8c5839db-0534-47fb-a17d-854e245f9aa4,25.47357
d94fddfc-2a14-45dd-ab93-1493956f356a,26.04488
5b2178db-30a6-46cc-b0e2-5182d4c9cfa9,26.47468
a6ebc772-8d8e-4d96-98a4-7aee0effda22,26.90447
09a2c4f6-4e16-4af7-a534-b5de903be0ab,27.33426
d1d58ec8-98c2-4002-a061-300a2d308378,27.76405
4c65522d-b350-4da1-9817-ac0a38cc0d45,28.19385
d3805a4a-3a39-45cb-b87c-be98ad09cf94,28.62364
6b241ecf-e3c3-4a50-b744-144cf5f5ac7c,29.05343
f518db62-1347-41bf-a789-6bdc1dcf5949,29.48322
de39cf24-4b0f-4d70-9819-82b6bdc96ff2,29.91302
b4971b2c-7122-4f6f-bade-338e7b587022,30.34281
65ff2cef-3ef6-43a3-be77-426557ca8beb,30.77260
4ea6050f-811e-400b-9e5c-27fb5b970ee7,31.20239
58996cc6-953f-4076-94c6-96a8403de3d8,31.63219
36d2fc30-83a4-42a7-85d2-3865680b886b,32.15374
18e3d3c4-61f8-49e7-b892-3408b57ebb07,32.67529
dfefd1da-9e1c-4c78-b7a3-206d280581d4,33.19684
f3d072ce-c0dd-4ec5-81f4-3aec8cdf011a,33.71839
f10c1de5-34bb-4afa-97ef-69228cfe4eee,34.23994
6ae268a5-bcad-4b47-9f0b-37d5e14dc0ee,34.76149
80702899-14e1-40fa-9d34-a92e2d854e21,35.28304
0c01c2d0-d8dd-4952-ab6f-e0df579e1e06,35.80459
f5c8020d-8d33-4a88-88bf-8dd79b36d7f7,36.32614
09e1a83e-4c5c-482d-97d5-9b704f61567c,36.84769
87593774-30b6-4664-91c4-1a138770e612,37.36924
02d3a6e9-ac66-42b2-91e6-ced58ed276aa,37.81822
7e19d2c5-5a07-447a-8b3c-a21dadbd7a04,38.38955
4a88db53-5ab0-4fe9-99d2-7dee2a1bc349,39.01844
28e6e862-8809-44f2-8f4a-8ae4f3262ea6,39.64733
0fec9747-7d69-4bfe-a510-f3e1d8205bc2,40.27621
734874d9-ea69-4b37-b351-44ce0f499a7a,40.90510
217e58b9-a471-4187-9875-22e8903e1acf,41.53399
076ca3ed-8833-4209-a3b0-cebddc1ac391,42.16288
8af1076e-c30e-43e0-a0cc-c7a1aa831011,42.79177
6889c12b-d5f2-443a-bd00-bd4001945164,43.42066
04a231a5-d5ea-4bce-9df2-a5d977ef9399,43.98533
6e4799a1-33f4-442d-a6be-7b1dcb1d4de4,44.39075
1fb2a309-8fb2-4310-827e-8d39d7356f49,44.79616
04a16e09-1c9e-439b-bea9-639908b3fbe0,45.20158
743fabd2-cdd8-46db-8058-6ff63cdeadbc,45.60700
a9fc55a6-ab2a-48f0-93cd-940859477127,46.01242
18c50ee7-e4bc-4a01-a53f-43081d7cecec,46.41783
d8ebb37f-781e-4986-9022-58f910d9750a,46.82325
d6f482d4-b6a3-49a0-8876-35a16398d289,47.22867
f5b1703f-4387-4ccd-9e58-87a3754c055f,47.63409
2a923846-ac93-41bd-8117-3a0c72e1f28a,48.03951
c8e6f9c9-bf95-44a0-a22b-67b24416b1d2,48.44492
b437e9b9-2fa6-4379-990c-5feaae602fcb,48.85034
699ff814-3b15-4cb0-85f2-08019668279b,49.25576
adf1ee28-95df-4f10-a686-c9ff86e9de63,49.66117
98139fb5-91ba-40c4-b405-b183e3a8e018,50.06027
21d8a8e0-2689-4eb4-a0c7-47f53a41aa37,50.47557
9b1393fc-9314-4832-8eec-e9f58db07611,50.87826
b55ed50c-32f5-41a4-89b7-2b09138992ce,51.28094
15689c8a-d698-4d90-a8c6-16805ea1e4a9,51.69083
fbf32777-4884-428d-bbea-76b042ff8c47,52.09456
36c389ce-3380-46b9-a49d-ddbc44d1564a,52.51226
576a8539-3578-415b-9d97-9c24ec03a330,52.91503
3a7ada32-8402-4ab9-8a43-07ec747d8878,53.32189
885b62f1-e1f0-4a03-a747-b71c603fc59f,53.72330
e5de71ce-c676-4fd7-9e51-b2a6babad0e8,54.12471
ba2f195c-1455-4b6a-9b4d-c4f7ed104d7c,54.52613
1c19f09d-42ba-49ea-89bc-1526c53ed1ed,54.92795
e6d0228b-8489-477c-8998-3d839e542f08,55.32977
a9b168b8-b670-4709-b6a3-466bef49a09e,55.74743
9c49cd00-1204-4c22-beda-ed9bb974bd94,56.15086
a4e8f3fd-6e12-4fb8-9afb-5bec08dba35a,56.55429
926436ee-2521-451e-a64d-d131fc2b8efd,56.95772
ebdea8bf-c415-417f-a7d8-da932e32aa9e,57.38194
93c47245-a81d-4a29-b29f-493da5e69c12,57.78442
a0942163-3062-4fd4-8e66-21c50f72996f,58.18691
e16c5157-4d37-4048-a8b6-10875dae78bb,58.58940
e34e2578-5f87-487e-b090-3d4484b41de0,58.99700
ad86b193-660a-4827-a428-60b12a33adeb,59.50652
4a3563f2-c2ef-43d8-9bec-06cc2744c68f,60.01603
5b34e416-50f1-4370-b624-1dc32f106177,60.56456
fc8106d1-8f53-49cb-a038-b93c50e0584b,61.07439
cc6dd794-ce08-48c7-9c2b-284e441d0883,61.58422
6e6b3a15-37b3-43bf-9d80-7abe81af9971,62.09405
08dca756-0135-4d1a-9035-a35f35fabbdf,62.58896
fdb38e9a-92b0-4a88-874c-c5576bb21982,63.09949
cf98fae4-0e00-4f9b-be70-323aebab7a96,63.61002
ca08e309-639c-4d89-ab26-6d19ba467c80,64.10989
8694d274-548f-49fb-9677-0a4f8e7ce683,64.62018
cc162bb2-59f1-43d6-8904-33c5d7312137,65.13045
d3c849f0-bbe3-4550-ad29-5a73bcb4920b,65.64040
72bc1e2c-7cf6-40d9-be63-e9726f981605,66.15035
a367d7df-0beb-43d5-ab4c-cf5c3760b24b,66.66029
dcfa92d9-590a-4e6a-9b4b-a8ea3bb9a6be,67.17024
6c1619c5-1e74-4f50-a336-aecb0955fee2,67.66489
00967014-15e1-4059-a094-87b6c50613a8,68.17534
2f4171c5-741a-4260-ac30-fa211cfd45d4,68.68579
c6047d8d-0458-4169-8667-23ed96c22dfc,69.19624
0d54be83-275f-400c-b92e-825da9f1c3f0,69.70669
2d7a64a4-9ed7-4729-9f34-9a200a16bf7a,70.21716
9816c42a-7a83-401a-aba6-5defa3a09f40,70.72764
f6508870-a92a-4d7c-bcfd-8632da3b0e5c,71.23811
7ffb36a2-f955-4b68-a1f2-bdafc7e67ce1,71.74859
c3f406e8-3d21-4bb1-a28d-86510348ed65,72.25888
2c06b5d6-750d-4f99-b1b1-0f0f0b40bd7e,72.76827
d3b27b40-3b32-4751-868a-81263b8526dc,73.05583
7949e0bb-1289-4f04-9587-a89fc5e6c0c4,73.35154
e80bad68-06fd-41f5-b395-badebf282f28,73.64725
bca026ad-3161-4b9d-a3f5-441c1cda84e5,73.94296
90097c02-8647-4139-a158-1a7cf44c1a7a,74.23867
08870232-994a-45dc-b722-efafa1736ef9,75.02619
62c97687-f65f-4912-b8cd-4f93e9190998,75.47589
66f38be8-32cb-42ef-beb1-df6ce32977f5,75.92335
750e63cf-7945-400d-b630-809b7e9e16d1,76.37062
09846b53-a777-4ff3-8060-7c4e2d4c7a04,76.84001
b7b1b3c6-a642-4c7d-9a75-515cefd1d01b,77.27350
9e8d5433-4a9b-4ac4-bdd5-89469a298288,77.72321
7dead7ab-33f3-43ff-94cc-6fe2527386e4,78.17291
83295ed9-1d36-4c12-90ec-b32decccc912,78.62262
d85c36cb-186c-4934-bfa3-175a3ffa6c5b,79.07232
d411df45-ef36-4cd0-b5a9-bf66f92560d3,79.52203
49533ccf-51d8-4ef4-9ccd-59484a32ccb9,79.97173
927686ca-1cb2-49c9-80a8-578a97cf1103,80.42144
cf8cbf82-8d8b-4c18-b2fe-71c0f234e191,80.87115
ea566ed1-2881-4ff8-8e2f-98a77fb84a35,81.23996
64558fe6-ffab-4957-8784-a8b02c21733f,81.60878
332e502f-e1ad-4c48-823f-d7668173a248,81.97760
75bf5ad3-6ecb-499e-a1c3-887c4d840fb7,82.34641
d41d3c12-5b7c-43b4-a897-352bfb19d33a,82.71523
1811736c-c7b0-4417-8910-5d4e2c3887a6,83.08405
ae93ddd2-22de-451a-86af-9a3c1eae3f86,83.45287
242e232d-ae11-43fb-a83e-9d51cfcdf41d,83.82168
3d91a459-1856-4873-8ff1-4308044d5656,73.98140
d3bd76b3-1d51-4400-a20d-0e528708be8b,74.40975
95d4c7cb-73ef-4a34-bfbf-d7c8805e3b8d,74.83811
2a5daedd-dcea-4ca8-9039-a080d83fa7f6,75.26646
b6f0d07c-0d23-4d10-b175-0678655591ac,75.69382
689e340c-e790-4443-9df9-343bf328498d,76.11987
93a17ef4-5eed-4d6a-a613-c989927ed2a9,76.54591
bb40046f-25b4-4eb7-b0a3-fce8d0389834,76.98892
edf6eca6-dc78-44ab-a3cc-535ee79afb68,77.40706
4ac36649-801a-4eb8-b283-12ae92cef348,77.83542
431e84dd-fcd6-42b8-bdd0-54105b7aecea,78.26378
c05a5f3b-146d-4aaa-b6c5-38588b8f0c3b,78.69215
ad35be1d-dcd5-4427-927e-8ca40f55f595,79.12051
a9ee0d32-7292-4498-ae99-442049485337,79.54887
e90f3c34-a200-40cf-af0c-38489f849807,79.97723
9791e471-02b8-4f99-a80e-24626b4d4eef,80.40560
a5f2f237-e4bd-4e96-be63-321cea6729cb,80.83396
eaa2f654-7ac1-4147-9fd2-18f759783920,81.23905
fcbc53e4-bbe8-419a-be24-d6897c273259,81.64414
c153ecf9-4830-4460-a6c1-ed6e1a7a4876,82.04923
c788df1f-1e6d-4090-a4b7-511cc60a1062,82.45432
93490fe7-ada2-40cb-bee9-cf8918734a66,82.85942
15f872a1-6c1e-41c2-9982-822ee98e25d7,83.26451
b07f8c15-5c03-440b-8d2b-af35d26ea85c,83.66960
3b0ea548-9e2c-4ea7-89ca-ca85f9a2f3bf,84.07469
febe0213-7594-4567-813c-d5236e36e900,84.47978
54c90d3e-546e-4439-b8d4-3a4c4cfbb5e4,84.88487
32ad562f-8222-4d56-9cc2-9dd975d118f2,85.28997
d5cd07c1-a6e3-4f08-ad2a-622ec796e724,85.69506
7bbee7f7-b887-4c2e-b5eb-08ad3a401cd2,86.10015
08760c47-3fc4-42ba-a2da-300d08e4107a,86.50524
43e059e3-8996-4c49-af7a-8228d03c4b00,86.91033
19a793ac-5fc9-455e-a5cb-675d180c703b,87.31542
eaa04d84-18cc-4286-91a6-634db9cbeda7,87.72052
e125b0fe-fcea-4bdf-88a8-d085667766c0,88.12561
fb193e9b-f8d1-49bf-a63b-3219f155d100,88.53070
7607336b-a574-46a9-84ee-667736ecc337,88.93579
4dae4825-b39b-4b29-9e8f-2f948fc49ddc,89.34088
48ba9ba7-aaa8-441b-9203-9839e8c52320,89.74597
5dd28529-c6bf-4bb6-80dc-30d593e0e1de,90.15107
34b72a37-cce1-4edd-87c3-cb7e9f5d830b,90.55616
bb996e8d-8a7b-4747-be7b-ef31c3f202c0,90.96125
817dcd1f-c836-475b-9999-55da069e9460,91.36634
1f4c9a72-1c56-4790-bf07-f89451e94af0,91.77143
e5387967-9aff-4d08-89d9-37de41594eb2,92.17652
9bea9411-34b3-4e5c-b633-eacf154813ad,92.58162
6b9a245f-e1ac-4712-9304-8636505f7e1a,92.98671
0ec3067d-7179-41e4-a8f7-5d3c3a9e575b,93.39180
f75702fb-8d96-4796-a1dc-6ce1fe3a6d3a,93.83173
290ca539-e42e-45bf-b842-03eb21a85bb7,94.27167
223f7abe-fbf6-4216-bdf2-629fb66ef94e,94.71160
23eab109-92ac-401d-9f3c-33a5e4290b8c,95.15153
5c186def-37b2-473b-8865-75c5e4639af4,95.59146
97fbbb07-90c3-4cf4-8eea-a3b451f01274,96.03140
0a9d3375-33ac-4d86-b7e9-e233bcee66d9,96.47133
5b69169d-4db4-4a10-998e-67f3805eb7da,96.91126
943192a7-b696-4b99-ad40-2554ec20032e,97.35120
7d7f6f71-0bf7-41fd-a10e-0461ed346daf,97.79113
c9c44155-68c9-4461-a815-20fa07de9d2e,98.23106
1591224b-f9f9-41da-a5c2-24ff2558d144,98.67099
b9ec3b39-6608-4843-bd80-bcf795d53497,99.11093
3bf318a3-4882-4cca-8f7b-2d7efdfe031e,99.55086
48fab89f-6bbb-41ba-99cb-e4de98f4e884,99.99079
7c0c752b-119f-4a81-ace5-700479f0d355,100.43072
9be275b6-e7f2-4dd6-9dec-cc89d878e62a,100.87066
190ba569-299e-4ffc-8c1c-b1d56de6f2b7,101.31059
0897afef-ea02-4940-9822-2f46ff7c2829,101.75052
5c2056df-f582-44fc-af8c-13be752b2c8a,102.19046
4a7528b3-2276-4469-9992-98e943b6dc79,102.63039
4da663f2-cd9d-4c7e-aeab-6e842f32f26f,103.07032
ad6d0dd5-dfd1-401f-830d-742e625b4548,103.50526
ad13550a-dc90-48c6-938f-94dddcf18324,103.94019
b23a84bd-da76-4758-b038-bf3cc285fa11,104.37513
0df198e8-b91c-48b4-a84c-3b41d7551aae,104.81006
f94d1450-3260-4770-8da3-1784ef48a9c4,105.24500
dd20f1d8-870c-405e-aa6b-9b3d26364276,105.67993
b2d13ac5-68fa-42e3-9418-3eaecafba32a,106.11487
794fd7f3-026e-428d-8bc1-00ff89877d0a,106.54981
94d77f62-a376-4d5a-a693-f56975ff9b4c,106.98474
fe446a07-7aa3-402d-bde1-9db147db93ba,107.41968
7a2112c7-917d-4b0a-9c26-2f3ca799c3ba,107.85461
520eba56-6843-42ce-9c34-14db217dc654,108.28955
3922c332-3ff9-44df-a766-bf9a6706189b,108.72448
bfd9a5f4-a52f-4cb3-9b83-aaacb71797e5,109.15942
b3a87d77-6cf2-42b8-ba41-456905bfc89e,109.59435
41fcf2ad-c320-4d51-ad7e-f50cf2bcb899,110.01045
eedbcb6a-0264-4e55-bc0a-9cfe0a088ef0,110.42655
a53eca68-e77b-4c32-bf23-470ead147d34,110.84265
b7aa1b85-a24b-48fa-9da6-9415d6c3fff4,111.25875
95884605-f191-4d26-b05a-81868cb9e0f2,111.67485
3dcd5dbc-143b-49f2-9216-84c5bb51afc6,112.09095
5698b129-8e67-4427-af37-ace60983a891,112.50705
9e929b69-8262-4927-b664-242270966156,112.92314
79ad2122-56b6-4191-8291-89202f4fa829,113.33924
ad6c03b2-e89c-4996-97be-123297e53a2c,113.75534
478dd963-f1f1-4792-b0de-52300c800a8e,114.17144
50fe58b0-d1c8-4a09-bf4b-146eb4acd4a5,114.49594
f156460d-f016-4890-b560-5ffe48176056,114.99814
c0a74c7e-6ad8-4bf9-b61e-03cf4e2622e8,115.50034
ffacbdad-cd74-4d66-9bbe-e42c3c421302,116.00254
a4e95d29-3611-46e9-8a22-27494f9fce34,116.50475
a602805a-1c26-4a1f-9c9f-2b8b27f5a352,117.00695
a94a9eaa-614a-4959-ae89-006f99c48ba6,117.50915
6c548597-2142-4b06-ab66-6e222bf52b57,118.01136
870e252b-4e45-499f-8d55-65712dd804dc,118.51356
73c7d9b8-f342-45e7-8e22-b216b7f5b1e8,119.01576
ec0e78f5-9b72-4202-87be-2fe782b44a12,119.51797
8d1502ff-2ca7-464f-a3ac-9ff6f3bf153d,120.02017
259e640f-516e-4d8e-974f-74b01a12e4e7,120.52237
0fa4dae3-6dde-4df5-bcd4-efaa7470dba8,121.02458
894329b8-1b31-4a55-8ccf-7f9b050a2ea3,121.52678
2bea33ca-71fb-444a-9766-4a91c2d43616,122.02898
84615730-973d-48a7-9169-3fb0d09a6da2,122.53119
c1a609e0-1808-440c-99b9-60b9942f14dc,123.03339
9a888d7e-a845-4f12-b453-ddd292f21acd,123.53559
94da216d-6206-43dc-ad49-93789fcb2575,123.99922
06451c98-4a94-43e3-b8cf-65b4f6ed47c5,124.46284
738d4827-157d-4d47-a309-edf842a26a97,124.92646
25157377-2cb5-435f-a37d-fab15ac1294e,125.39008
1cfdb2a7-53a0-4f49-b71a-d15e4a56cb64,125.85370
c0919b98-c043-4676-9d57-949b2f09158f,126.31732
cda0f396-47bc-4bb6-a793-012fcdffdac8,126.78094
01bb1311-c47a-4442-a15b-1f59034e960e,127.24456
3396effd-a7ff-473f-abf2-3b40ae079527,127.70818
6f4ef97a-e20d-4c1f-827f-4d9ded56cabe,128.17180
42888bac-f542-49d8-b55e-dbe1975cb556,128.63543
17d35062-74f7-4258-9a54-00b112b973d0,129.09905
f8415f5d-11b9-41b9-bfc8-90b2c4be2b3b,129.56267
be495f13-99f5-4bea-baae-90eb8d8a2671,130.05477
c60dd703-b969-40e0-980c-2e0140967aa7,130.54687
602dcdc9-c923-4e05-9508-b3254bd62129,131.03897
002c4a3f-8714-47ef-ae20-b7a5720f105c,131.53107
a544c414-a749-4348-8003-7a5ab652d318,132.02317
3bfd8784-f27f-4374-8e2d-f839c6efa684,132.51527
30e205ff-f365-4111-bfb9-3400017b8ab2,133.00737
e8e291db-20c2-4bc6-933f-eb0119a99516,133.49947
